path    COUNT(o.object_path)    MIN(o.object_path)
/opt/check-status/      0       NULL
/opt/clang/     0       NULL
/opt/cmake/     0       NULL
/opt/collectd-5.5/      0       NULL
/opt/collectd/  2       /opt/collectd/papi/lib/libpapi.so.5.4.3.0
/opt/conda_env/ 0       NULL
/opt/containerd/        0       NULL
/opt/cuda/cuda-10.1/    26      /opt/cuda/cuda-10.1/extras/CUPTI/lib64/libcupti.so.10.1.132
/opt/cuda/cuda-11.1/    40      /opt/cuda/cuda-11.1/extras/CUPTI/lib64/libcupti.so.2020.2.0
/opt/cuda/cuda-12.0/    9       /opt/cuda/cuda-12.0/targets/x86_64-linux/lib/libOpenCL.so.1.0.0\n
/opt/cuda/cuda-12.4/    0       NULL
/opt/cuda/cuda-5.5/     4       /opt/cuda/cuda-5.5/lib64/libcudart.so.5.5.22\n
/opt/cuda/cuda-6.5/     18      /opt/cuda/cuda-6.5/lib64/libOpenCL.so
/opt/cuda/cuda-8.0/     66      /opt/cuda/cuda-8.0/extras/CUPTI/lib64/libcupti.so.8.0.61
/opt/cuda/cuda-9.0/     4       /opt/cuda/cuda-9.0/lib64/libcudart.so.9.0.176
/opt/cuda/cuda-9.1/     13      /opt/cuda/cuda-9.1/extras/CUPTI/lib64/libcupti.so.9.1.85
/opt/cuda/cuda/ 0       NULL
/opt/cuda/nvidia-libs-346.96/   2       /opt/cuda/nvidia-libs-346.96/lib64/libcuda.so.346.96\n
/opt/dimonta/   2117    /opt/dimonta/anaconda/lib/libiomp5.so
/opt/dislib/    0       NULL
/opt/DOC/       0       NULL
/opt/docker/    0       NULL
/opt/emc/       0       NULL
/opt/extra/     2       /opt/extra/libXmu.so.6.2.0\n
/opt/flexnetserver/     0       NULL
/opt/gcc/       1       /opt/gcc/lib64/libstdc++.a
/opt/gnustep/   0       NULL
/opt/h/ 0       NULL
/opt/hfs15.0.313/       0       NULL
/opt/hfs15.0.459/       0       NULL
/opt/houdini_libs/      0       NULL
/opt/hpctools/  13      /opt/hpctools/CubeBundle-4.5/vendor/cubegui/build-frontend/.libs/libcube4gui.so.7.2.0
/opt/hpcx-v1.9.5-gcc-MLNX_OFED_LINUX-4.1-1.0.2.0-redhat7.1-x86_64/      1       /opt/hpcx-v1.9.5-gcc-MLNX_OFED_LINUX-4.1-1.0.2.0-redhat7.1-x86_64/ucx/lib/libucm.so.0.0.0\n
/opt/ibutils.pvt/       0       NULL
/opt/ibutils/   0       NULL
/opt/ib_guids/  0       NULL
/opt/intel/     1772    /opt/intel/advisor_2017.1.1.486553/lib64/libadvixe_aggregator_3.62.so
/opt/java/      5       /opt/java/jdk1.8.0_25/jre/lib/amd64/libjava.so\n
/opt/knem-1.1.1.90mlnx/ 0       NULL
/opt/knem-1.1.2.90mlnx2/        0       NULL
/opt/knem-1.1.3.90mlnx1/        0       NULL
/opt/libpapi.so.5.2.0.0/        0       NULL
/opt/libpapi.so.5.2/    0       NULL
/opt/libpapi.so.5/      0       NULL
/opt/libpapi.so/        0       NULL
/opt/libpfm.so.4.4.0/   0       NULL
/opt/libpfm.so.4/       0       NULL
/opt/libpfm.so/ 0       NULL
/opt/libtool/   0       NULL
/opt/Lost+Found.2/      0       NULL
/opt/make/4.1/  0       NULL
/opt/make/4.4/  0       NULL
/opt/make/make/ 0       NULL
/opt/mellanox-sdk/      0       NULL
/opt/mellanox/bupc/     0       NULL
/opt/mellanox/ethtool/  0       NULL
/opt/mellanox/fabric_collector/ 0       NULL
/opt/mellanox/fca/      0       NULL
/opt/mellanox/hcoll/    15      /opt/mellanox/hcoll/lib/hcoll/hmca_bcol_basesmuma.so\n
/opt/mellanox/hpcx/     0       NULL
/opt/mellanox/iproute2/ 0       NULL
/opt/mellanox/libibprof/        0       NULL
/opt/mellanox/mellanox/ 0       NULL
/opt/mellanox/mlnx-fw-updater/  0       NULL
/opt/mellanox/mxm/      3       /opt/mellanox/mxm/lib/libmxm.so.2.0.32\n
/opt/mellanox/sharp/    13      /opt/mellanox/sharp/lib/libsharp.so.3.1.1\n
/opt/modulefiles/       0       NULL
/opt/modulefiles7/      0       NULL
/opt/mpi/archive/       0       NULL
/opt/mpi/mpi/   0       NULL
/opt/mpi/mpich-4.2.1/   0       NULL
/opt/mpi/mpich-4.3.2-gcc9/      5       /opt/mpi/mpich-4.3.2-gcc9/lib/libmpi.so.12.1.11\n
/opt/mpi/mvapich2-2.0.1/        0       NULL
/opt/mpi/mvapich2-2.1a/ 2       /opt/mpi/mvapich2-2.1a/lib/libmpi.so.12.0.2
/opt/mpi/mvapich2-2.1rc1-icc/   2       /opt/mpi/mvapich2-2.1rc1-icc/lib/libmpi.so.12.0.4
/opt/mpi/mvapich2-2.3.4-icc/    6       /opt/mpi/mvapich2-2.3.4-icc/lib/libmpi.so.12.1.1\n
/opt/mpi/mvapich2-2.3.4-icc2019/        6       /opt/mpi/mvapich2-2.3.4-icc2019/lib/libmpi.so.12.1.1\n
/opt/mpi/openmpi-1.10.0-centos7-icc-woslurm/    0       NULL
/opt/mpi/openmpi-1.10.7-icc-th/ 0       NULL
/opt/mpi/openmpi-1.10.7-icc/    80      /opt/mpi/openmpi-1.10.7-icc/lib/libgfortran.so.3.0.0\n
/opt/mpi/openmpi-1.10.7-woslurm/        0       NULL
/opt/mpi/openmpi-1.6.5-centos7-gcc-woslurm/     0       NULL
/opt/mpi/openmpi-1.8.4-centos7-icc/     48      /opt/mpi/openmpi-1.8.4-centos7-icc/lib/libmca_common_sm.so.4.0.4\n
/opt/mpi/openmpi-1.8.4-gcc-centos7/     19      /opt/mpi/openmpi-1.8.4-gcc-centos7/lib/libmpi.so.1.6.0\n
/opt/mpi/openmpi-1.8.4-gcc/     79      /opt/mpi/openmpi-1.8.4-gcc/lib/libgfortran.so.3.0.0\n
/opt/mpi/openmpi-1.8.4-icc-centos7-woslurm/     56      /opt/mpi/openmpi-1.8.4-icc-centos7-woslurm/lib/libgfortran.so.3.0.0\n
/opt/mpi/openmpi-1.8.4-icc/     92      /opt/mpi/openmpi-1.8.4-icc/lib/libgfortran.so.3.0.0\n
/opt/mpi/openmpi-2.0.1-icc-woslurm/     0       NULL
/opt/mpi/openmpi-2.0.1-icc/     50      /opt/mpi/openmpi-2.0.1-icc/lib/libmca_common_sm.so.20.0.0\n
/opt/mpi/openmpi-2.1.1-icc/     80      /opt/mpi/openmpi-2.1.1-icc/lib/libgfortran.so.3.0.0\n
/opt/mpi/openmpi-2.1.1-woslurm-womlx/   0       NULL
/opt/mpi/openmpi-2.1.1-woslurm/ 3       /opt/mpi/openmpi-2.1.1-woslurm/lib/libmpi.so.20.10.1
/opt/mpi/openmpi-3.0.0-icc-not-working/ 0       NULL
/opt/mpi/openmpi-4.0.0-icc/     85      /opt/mpi/openmpi-4.0.0-icc/lib/libmca_common_monitoring.so.50.10.0\n
/opt/mpi/openmpi-4.0.1-icc/     95      /opt/mpi/openmpi-4.0.1-icc/lib/libmca_common_dstore.so.1.0.0\n
/opt/mpi/openmpi-4.0.1-icc2019/ 89      /opt/mpi/openmpi-4.0.1-icc2019/lib/libmca_common_cuda.so.40.20.0\n
/opt/mpi/openmpi-4.0.2-gcc/     118     /opt/mpi/openmpi-4.0.2-gcc/lib/libmca_common_dstore.so.1.0.1\n
/opt/mpi/openmpi-4.0.5-gcc/     85      /opt/mpi/openmpi-4.0.5-gcc/lib/libmca_common_cuda.so.40.20.0\n
/opt/mpi/openmpi-4.1.0-gcc/     93      /opt/mpi/openmpi-4.1.0-gcc/lib/libmca_common_dstore.so.1.0.2\n
/opt/mpi/openmpi-4.1.0-gcc8/    70      /opt/mpi/openmpi-4.1.0-gcc8/lib/libmca_common_dstore.so.1.0.2\n
